1.43,3.09,,,
0.92,1.4,15.1,15.27,
2.44,3.4,,,
0.01,1.4,9.1,8.51,8.02
2.37,2.16,,,
1.5,3.71,,,
1.1,1.4,9,,
0.74,1.4,1.01,0.69,
2.99,3.15,7.31,7.51,
0.11,0.23,,,
1.48,1.4,6.02,5.93,
1.46,1.46,,,
0.96,12.18,,,
0.77,0.55,10.11,12.47,12.85
1.3,1.9,7.31,8.14,
1.81,15.8,,,
1.29,1.03,,,
1.52,1.4,14.2,14.65,
0.72,3.15,,,
1.94,1.9,15.1,15.39,
0.41,1.54,,,
0.19,0.7,1.9,2.04,
1.04,1.35,,,
0.52,0.5,,,
1.84,1.9,0.7,0.42,
1.49,1.02,,,
2.95,2.31,,,
1.42,2.55,,,
1.89,2.64,,,
1.47,0.19,,,
1.09,0.53,,,
2.86,1.06,,,
0.56,1.4,1.9,2.2,
2.92,2.27,,,
0.36,0.55,1.9,1.99,
1.54,0.04,,,
2.27,0.78,,,
1.23,2.57,,,
1.86,0.5,,,
0.46,0.57,,,
