1.052,420
1.285,500
1.518,580
1.751,660
1.984,740
2.217,820
2.45,900
2.683,980
2.916,1060
3.149,1140
3.382,1220
3.615,1300
3.848,1380
4.081,1460
4.314,1540
4.547,1620
4.78,1700
5.013,1780
5.246,1860
5.479,1940
5.712,2020
5.945,2100
6.178,2180
6.411,2260
6.644,2340
6.877,2420
7.11,2500
7.343,2580
7.576,2660
7.809,2740
8.042,2820
8.275,2900
8.508,2980
8.741,3060
8.974,3140
9.207,3220
9.44,3300
9.673,3380
9.906,3460
10.139,3540
10.372,3620
10.605,3700
10.838,3780
11.071,3860
11.304,3940
11.537,4020
11.77,4100
12.003,4180
12.236,4260
12.469,4340
12.702,4420
12.935,4500
13.168,4580
13.401,4660
13.634,4740
13.867,4820
14.1,4900
14.333,4980
14.566,5060
14.799,5140
15.032,5220
15.265,5300
15.498,5380
15.731,5460
15.964,5540
16.197,5620
16.43,5700
16.663,5780
16.896,5860
17.129,5940
17.362,6020
17.595,6100
17.828,6180
18.061,6260
18.294,6340
18.527,6420
18.76,6500
18.993,6580
19.226,6660
19.459,6740
19.692,6820
19.925,6900
20.158,6980
20.391,7060
20.624,7140
20.857,7220
21.09,7300
21.323,7380
21.556,7460
21.789,7540
22.022,7620
22.255,7700
22.488,7780
22.721,7860
22.954,7940
23.187,8020
23.42,8100
23.653,8180
23.886,8260
24.119,8340
24.352,8420
24.585,8500
24.818,8580
25.051,8660
25.284,8740
25.517,8820
25.75,8900
25.983,8980
26.216,9060
26.449,9140
26.682,9220
26.915,9300
27.148,9380
27.381,9460
